modularity_class,Degree_mean,Degree_var,betweenesscentrality_mean,betweenesscentrality_var,clusteringcoefficient_mean,clusteringcoefficient_var,communitysize
649,3.166666667,8.566666667,37176.09277,6162956310,0,0,943
650,1,0,0,0,0,0,1985
651,1.333333333,0.333333333,0.333333333,0.333333333,0,0,1989
652,2,0,0,0,0,0,1993
653,1,0,0,0,0,0,1996
654,1,0,0,0,0,0,2002
655,2,0,0,0,0,0,2004
656,1,0,0,0,0,0,2009
657,1,0,0,0,0,0,2031
658,1,0,0,0,0,0,2036
659,2,0,0,0,0,0,2042
660,2,0,0,0,0,0,2044
661,2,0,0,0,0,0,2051
662,2,0,0,0,0,0,2052
663,2.571428571,4.952380952,3.142857143,31.80952381,0,0,2057
664,1,0,0,0,0,0,2062
665,2,0,0,0,0,0,2063
666,1,0,0,0,0,0,2064
667,1,0,0,0,0,0,2068
668,1,0,0,0,0,0,2070
669,1,0,0,0,0,0,2071
670,2,0,0,0,0,0,2073
671,1,0,0,0,0,0,2078
672,1,0,0,0,0,0,2079
673,1,0,0,0,0,0,2087
674,1,0,0,0,0,0,2092
675,2,0,0,0,0,0,2096
676,1,0,0,0,0,0,2097
677,1,0,0,0,0,0,2098
678,2,0,0,0,0,0,2099
679,2,0,0,0,0,0,2104
680,1,0,0,0,0,0,2107
681,1,0,0,0,0,0,2110
682,2,0,0,0,0,0,2111
683,2,0,0,0,0,0,2123
684,4.25,10.5,4.125,117.9535714,0,0,2128
685,1,0,0,0,0,0,2131
686,5.333333333,29.13333333,100638.5741,8.01E+10,0.096992619,0.0204853655,1707.52381
687,1.333333333,0.333333333,0,0,0,0,2133
688,1,0,0,0,0,0,2134
689,1,0,0,0,0,0,2139
690,1,0,0,0,0,0,2140
691,2,0,0,0,0,0,2143
692,2,0,0,0,0,0,2144
693,2,0,0,0,0,0,2145
694,2,0,0,0,0,0,2153
695,1,0,0,0,0,0,2160
696,1,0,0,0,0,0,2167
697,2.795454545,10.25951374,11084.84091,1035139609,0.0539701591,0.0207995195,2343
698,1,0,0,0,0,0,2180
699,2,0,0,0,0,0,2188
700,1.857142857,7.208791209,0.142857143,0.285714286,0,0,2200
701,1,0,0,0,0,0,2209
702,5.76,126.5942857,104315.4318,9.01E+10,0.02353078,0.0200305979,1568.86
703,1,0,0,0,0,0,2230
704,2.5,3,1,4,0,0,2235
705,1,0,0,0,0,0,2236
706,1,0,0,0,0,0,2244
707,1,0,0,0,0,0,2252
708,1,0,0,0,0,0,2254
709,2,0,0,0,0,0,2271
710,7.396630934,193.9636083,102116.4201,1.88E+11,0.0495259923,0.0223417163,1480.199081
711,2.4,2.8,1.4,4.8,0,0,2281
712,1.714285714,3.571428571,0,0,0,0,2276
713,3.666666667,5.466666667,1.833333333,10.56666667,0.583333333,0.216666667,2285
714,5.103448276,157.3496391,38666.71892,1.66E+10,0.0438782874,0.0195754578,826.6781609
715,1,0,0,0,0,0,2296
716,2,0,0,0,0,0,2300
717,2,0,0,0,0,0,2302
718,3.6,6.3,2.2,24.2,0.4166666,0.284722278,2312
